,chrom,start,end,strand,confidence_score,sample_or_tissue_used
35413,chr2,19992475,19992504,-,3.016910938,HepG2
16210,chr22,20021233,20021287,+,4.017282261,K562
35426,chr2,20032878,20032965,-,39.15900364,HepG2
35423,chr2,20032834,20032878,-,40.99174059,HepG2
35418,chr2,20032714,20032742,-,5.577359118,HepG2
35419,chr2,20032765,20032828,-,12.0705917,K562
35420,chr2,20032767,20032819,-,8.871258665,HepG2
35424,chr2,20032835,20032878,-,26.84332972,HepG2
35417,chr2,20032713,20032752,-,5.37656421,K562
35421,chr2,20032792,20032998,-,30.25891934,K562
35425,chr2,20032878,20032904,-,23.14748951,HepG2
35422,chr2,20032828,20032889,-,16.96957354,K562
16237,chr22,20113165,20113224,-,4.681982602,K562
16238,chr22,20142755,20142803,+,3.424169967,K562
13050,chrX,20150280,20150334,-,3.266697184,K562
13049,chrX,20150010,20150038,-,3.693916752,HepG2
13051,chrX,20150697,20150739,-,5.050337254,HepG2
13048,chrX,20149986,20150044,-,8.131129893,HepG2
3549,chr3,20186117,20186179,-,5.917793237,K562
14790,chr8,20216413,20216455,+,4.512902227,HepG2
35485,chr2,20308490,20308521,-,3.504713402,HepG2
16243,chr22,20441585,20441671,-,3.424169967,K562
35486,chr2,20448579,20448642,+,50.96709932,HepG2
35487,chr2,20448586,20448639,+,43.57128222,HepG2
35489,chr2,20448818,20448835,+,5.957249309,HepG2
35488,chr2,20448661,20448748,+,31.82108058,HepG2
35492,chr2,20672047,20672079,+,3.199661376,HepG2
35494,chr2,20678149,20678183,+,3.199661376,HepG2
35493,chr2,20672235,20672280,+,3.199661376,HepG2
15885,chr13,20779432,20779474,-,3.693916752,HepG2
16244,chr22,20888611,20888665,+,3.36069115,K562
16250,chr22,20953114,20953146,+,3.693916752,HepG2
16247,chr22,20949943,20949979,+,3.96221267,HepG2
16248,chr22,20950427,20950475,+,17.10855733,K562
16249,chr22,20952172,20952216,+,3.189448735,HepG2
15886,chr13,20974145,20974202,-,3.55428109,HepG2
21518,chr16,21250872,21250917,+,3.199661376,HepG2
27621,chr10,21534442,21534505,+,8.161698843,K562
16328,chr22,21644179,21644285,+,400.0,K562
16327,chr22,21644177,21644272,+,400.0,K562
16329,chr22,21685292,21685323,+,3.199661376,HepG2
16431,chr22,21760350,21760437,-,22.77887278,K562
16435,chr22,21764009,21764075,-,5.577359118,HepG2
16433,chr22,21760447,21760523,-,19.48829039,K562
16434,chr22,21760625,21760674,-,3.189448735,HepG2
16432,chr22,21760361,21760416,-,12.3377712,K562
13062,chrX,21858480,21858569,+,3.36069115,K562
12888,chr18,21870028,21870106,+,4.907220775,K562
12887,chr18,21867262,21867340,+,3.511542639,HepG2
21519,chr16,21983438,21983521,+,10.51365455,K562
13063,chrX,21994630,21994676,+,5.529101386,HepG2
29343,chr12,22065121,22065176,+,7.087014108,K562
29344,chr12,22065172,22065195,+,3.805119784,K562
21520,chr16,22284755,22284788,+,3.693916752,HepG2
26772,chr10,22330283,22330354,+,3.540116796,K562
21522,chr16,22346390,22346435,-,3.504713402,HepG2
21521,chr16,22346131,22346206,-,4.064158778,HepG2
21523,chr16,22347663,22347724,-,4.594322111,HepG2
14935,chr8,22417654,22417665,+,3.536314955,HepG2
14936,chr8,22417656,22417682,+,6.109926836,HepG2
29352,chr12,22686374,22686415,+,3.693916752,HepG2
29355,chr12,22690489,22690544,+,4.105895486,K562
29354,chr12,22687748,22687801,+,6.180812464,K562
29353,chr12,22687740,22687814,+,7.087014108,K562
38104,chr14,23059177,23059294,-,14.35133755,K562
16462,chr22,23124609,23124657,+,3.693916752,HepG2
16463,chr22,23290343,23290402,+,4.227194163,K562
38131,chr14,23308869,23308929,+,5.347881548,K562
38993,chr14,23321773,23321823,+,14.72992704,K562
1684,chr19,23324962,23325014,-,5.089872757,HepG2
1682,chr19,23324410,23324452,-,5.2156211,HepG2
1683,chr19,23324688,23324749,-,4.01631793,HepG2
17710,chr1,23452696,23452745,-,3.199661376,HepG2
21526,chr16,23467303,23467416,-,30.63680183,K562
21524,chr16,23466276,23466335,-,3.189448735,HepG2
21527,chr16,23467310,23467421,-,68.80662492,K562
21525,chr16,23466289,23466352,-,5.271256259,K562
17711,chr1,23509403,23509492,-,4.619541281,K562
17713,chr1,23558077,23558127,-,4.269339392,HepG2
17712,chr1,23557977,23558047,-,3.610284393,K562
14958,chr8,23572445,23572455,+,27.91585287,K562
14957,chr8,23572404,23572450,+,51.44281774,K562
14960,chr8,23572481,23572518,+,18.11016067,K562
14959,chr8,23572470,23572513,+,25.44212002,K562
14954,chr8,23572329,23572404,+,86.36107168,K562
14953,chr8,23572261,23572301,+,24.5016656,K562
14955,chr8,23572331,23572404,+,43.17045823,K562
14956,chr8,23572404,23572445,+,80.08808105,K562
21537,chr16,23676965,23676996,+,4.512902227,HepG2
21536,chr16,23676956,23676965,+,4.512902227,HepG2
13064,chrX,23667514,23667559,+,4.512902227,HepG2
16473,chr22,23792112,23792141,+,3.199661376,HepG2
16475,chr22,23792383,23792453,+,5.567766748,HepG2
16474,chr22,23792365,23792406,+,7.857602086,HepG2
16472,chr22,23791945,23792052,+,10.89990287,HepG2
16476,chr22,23792648,23792680,+,4.512902227,HepG2
17743,chr1,23795411,23795474,+,4.628865613,K562
1685,chr19,23928810,23928858,+,3.991571025,K562
1686,chr19,23928812,23928869,+,5.03695252,K562
35495,chr2,24067619,24067668,-,5.287361324,K562
13086,chrX,24077648,24077660,+,6.253438812,K562
38285,chr14,24099139,24099168,+,3.016910938,HepG2
38382,chr14,24192956,24193001,-,3.199661376,HepG2
21549,chr16,24214908,24215001,+,10.09848719,K562
21550,chr16,24215905,24215986,+,9.345602034,K562
15903,chr13,24223075,24223126,+,4.739795003,HepG2
38385,chr14,24307376,24307415,+,3.693916752,HepG2
38386,chr14,24308027,24308083,+,3.55428109,HepG2
17746,chr1,24465189,24465246,+,5.340467232,HepG2
27854,chr4,24527535,24527605,-,3.36069115,K562
21553,chr16,24539626,24539662,+,3.178734411,K562
16521,chr22,24572177,24572232,+,3.266697184,K562
26654,chr6,24720295,24720329,-,5.266761796,K562
21556,chr16,24790350,24790386,+,3.917588427,HepG2
21555,chr16,24789883,24789914,+,4.269339392,HepG2
21554,chr16,24789866,24789909,+,4.52966126,HepG2
21557,chr16,24790878,24790889,+,4.01631793,HepG2
15904,chr13,25336230,25336302,+,4.396348092,K562
23251,chr20,25676538,25676594,-,3.476468913,HepG2
17754,chr1,25834860,25834942,-,6.172975844,K562
35501,chr2,26034169,26034240,+,5.967101334,HepG2
17769,chr1,26269494,26269555,+,4.227194163,K562
35504,chr2,26285511,26285571,+,3.266697184,K562
35503,chr2,26285472,26285519,+,4.739795003,HepG2
35502,chr2,26285409,26285502,+,4.064158778,HepG2
29375,chr12,26336612,26336664,-,4.739795003,HepG2
35511,chr2,26393573,26393614,+,3.693916752,HepG2
35510,chr2,26390316,26390370,+,4.594322111,HepG2
14979,chr8,26411056,26411102,+,7.641893755,K562
14980,chr8,26411313,26411353,+,3.693916752,HepG2
14981,chr8,26412610,26412670,+,6.180812464,K562
16525,chr22,26494214,26494222,-,3.693916752,HepG2
16526,chr22,26494222,26494250,-,3.693916752,HepG2
24624,chr6,26599058,26599109,+,6.013129016,K562
24620,chr6,26598909,26598971,+,4.661830076,K562
24621,chr6,26599000,26599035,+,3.991571025,K562
24622,chr6,26599006,26599048,+,3.545634347,K562
24619,chr6,26598898,26598943,+,3.016910938,HepG2
24623,chr6,26599048,26599120,+,11.07639854,K562
17791,chr1,26771239,26771264,+,3.504713402,HepG2
17815,chr1,26911607,26911657,-,8.797130412,HepG2
17816,chr1,26946280,26946364,+,5.920842641,K562
35533,chr2,27033030,27033118,+,12.18299925,K562
15906,chr13,27066242,27066295,-,3.610284393,K562
15905,chr13,27066235,27066313,-,3.424169967,K562
26790,chr10,27145587,27145590,-,3.693916752,HepG2
26789,chr10,27145586,27145587,-,3.693916752,HepG2
35543,chr2,27199680,27199745,-,4.545455288,HepG2
29378,chr12,27323600,27323651,+,3.693916752,HepG2
35549,chr2,27381340,27381468,-,15.99417625,K562
17821,chr1,27405652,27405697,-,4.681982602,K562
17822,chr1,27407962,27408007,-,4.01631793,HepG2
17820,chr1,27404325,27404372,-,4.594322111,HepG2
31418,chr17,27456737,27456789,+,5.229321962,K562
14994,chr8,27672014,27672063,+,3.536314955,HepG2
14995,chr8,27810414,27810464,-,3.805119784,K562
12889,chr18,27951017,27951078,-,7.543133147,HepG2
7320,chr15,28113579,28113636,-,3.36069115,K562
24636,chr6,28153747,28153777,+,3.610284393,K562
35560,chr2,28408778,28408822,+,4.557780101,HepG2
29381,chr12,28505448,28505476,+,3.693916752,HepG2
17850,chr1,28536763,28536803,+,4.739795003,HepG2
31474,chr17,28584413,28584471,-,3.682185412,K562
31475,chr17,28614501,28614558,-,4.928765132,HepG2
26837,chr10,28677616,28677660,+,3.882310524,HepG2
31481,chr17,28749929,28749965,+,4.734599103,K562
37895,chr2,28751965,28752078,+,43.51303141,K562
35567,chr2,28752031,28752088,+,35.82698865,K562
37894,chr2,28751959,28752031,+,51.12727864,K562
21661,chr16,28842879,28842972,-,15.22969304,K562
21660,chr16,28842862,28842954,-,13.41530453,HepG2
21662,chr16,28844762,28844783,-,3.693916752,HepG2
22909,chr16,28863860,28863918,+,3.682185412,K562
35571,chr2,28946885,28946926,+,4.545455288,HepG2
16565,chr22,29056871,29056887,+,3.693916752,HepG2
16564,chr22,29054578,29054608,+,3.504713402,HepG2
16563,chr22,29054367,29054403,+,5.779849793,HepG2
14996,chr8,29064643,29064716,+,3.805119784,K562
31515,chr17,29121093,29121163,-,4.017282261,K562
31518,chr17,29263605,29263636,-,3.693916752,HepG2
31519,chr17,29263794,29263844,-,3.511542639,HepG2
31516,chr17,29262526,29262559,-,3.536314955,HepG2
31517,chr17,29263269,29263306,-,3.882310524,HepG2
31520,chr17,29263819,29263865,-,5.779849793,HepG2
7321,chr15,29268483,29268551,-,4.681982602,K562
15916,chr13,29509630,29509685,-,4.269339392,HepG2
15920,chr13,29514191,29514264,-,7.844575898,HepG2
15915,chr13,29509600,29509686,-,5.050337254,HepG2
15918,chr13,29511522,29511568,-,3.189448735,HepG2
15919,chr13,29512325,29512378,-,4.01631793,HepG2
15917,chr13,29511231,29511269,-,3.536314955,HepG2
31522,chr17,29547476,29547521,+,3.693916752,HepG2
31521,chr17,29546889,29546951,+,3.016910938,HepG2
31523,chr17,29548782,29548839,+,3.882310524,HepG2
21759,chr16,29861211,29861252,-,3.199661376,HepG2
21760,chr16,29862923,29862988,-,3.266697184,K562
21761,chr16,29863025,29863188,-,4.734599103,K562
21767,chr16,29985781,29985848,+,4.545455288,HepG2
21770,chr16,29987855,29987901,+,4.232507593,HepG2
21769,chr16,29987433,29987487,+,5.529101386,HepG2
21768,chr16,29986850,29986954,+,5.018019887,K562
21778,chr16,29992109,29992198,+,24.63866887,K562
21777,chr16,29992104,29992149,+,10.61543155,K562
8670,chr7,30012918,30012955,-,3.693916752,HepG2
35594,chr2,30259547,30259609,+,8.60192677,K562
35593,chr2,30259201,30259254,+,11.57651754,K562
35589,chr2,30258201,30258273,+,8.248009359,K562
35590,chr2,30258760,30258778,+,3.610284393,K562
35596,chr2,30259652,30259751,+,9.52300384,K562
35595,chr2,30259647,30259746,+,17.91752413,K562
35597,chr2,30259939,30259974,+,3.805119784,K562
35592,chr2,30259190,30259254,+,7.876001769,K562
35591,chr2,30259000,30259038,+,5.075872175,K562
21822,chr16,30351295,30351372,-,3.424169967,K562
21823,chr16,30357399,30357433,-,3.882310524,HepG2
21836,chr16,30429922,30429992,-,4.782928436,K562
31535,chr17,30467284,30467390,+,5.268668342,HepG2
31536,chr17,30467482,30467542,+,4.613129145,HepG2
31534,chr17,30465616,30465665,+,3.882310524,HepG2
21839,chr16,30524052,30524118,-,13.66880783,HepG2
21838,chr16,30524048,30524120,-,20.33956429,K562
21837,chr16,30524046,30524077,-,17.86785306,K562
21840,chr16,30524077,30524131,-,24.67651132,K562
21857,chr16,30527176,30527264,-,9.632316897,K562
21858,chr16,30527200,30527243,-,3.693916752,HepG2
24656,chr6,30590557,30590597,+,4.661193622,K562
21861,chr16,30603244,30603294,-,3.536314955,HepG2
3560,chr3,30671677,30671704,+,4.007253545,HepG2
3561,chr3,30671688,30671706,+,3.199661376,HepG2
3562,chr3,30672143,30672184,+,4.279424552,HepG2
15004,chr8,30678265,30678335,-,6.959041827,HepG2
15007,chr8,30679553,30679616,-,5.018185287,HepG2
17879,chr1,30732593,30732705,-,10.61946316,K562
17881,chr1,30733707,30733771,-,10.50896064,K562
21882,chr16,30737928,30737972,+,4.640911235,HepG2
24773,chr6,30743954,30743994,-,76.08113649,HepG2
24774,chr6,30743994,30744009,-,54.00101744,HepG2
24775,chr6,30744077,30744101,-,43.7496532,HepG2
21887,chr16,30768874,30768930,+,3.36069115,K562
21888,chr16,30768882,30768940,+,3.915254684,K562
21894,chr16,30779098,30779145,-,3.96221267,HepG2
31537,chr17,30782705,30782783,-,8.911403272,K562
24804,chr6,30897512,30897587,+,3.991571025,K562
38389,chr14,30911052,30911099,-,3.511542639,HepG2
24844,chr6,30914443,30914488,+,3.55428109,HepG2
8671,chr7,30923449,30923501,+,3.424169967,K562
21944,chr16,31094611,31094667,-,5.268668342,HepG2
38404,chr14,31156884,31156954,-,5.229321962,K562
38405,chr14,31173200,31173240,-,3.917588427,HepG2
24847,chr6,31269337,31269351,-,4.557780101,HepG2
29385,chr12,31325791,31325841,-,3.178734411,K562
29384,chr12,31324395,31324443,-,3.991571025,K562
16597,chr22,31341356,31341363,-,5.340467232,HepG2
16598,chr22,31341363,31341386,-,5.340467232,HepG2
7327,chr15,31374022,31374083,+,3.36069115,K562
7326,chr15,31373643,31373714,+,5.340467232,HepG2
29386,chr12,31385943,31385951,-,3.693916752,HepG2
29387,chr12,31385951,31385978,-,3.693916752,HepG2
29388,chr12,31387253,31387295,-,3.199661376,HepG2
16599,chr22,31427059,31427126,+,3.016910938,HepG2
31548,chr17,31533184,31533224,+,4.739795003,HepG2
31547,chr17,31532340,31532461,+,4.064158778,HepG2
31546,chr17,31531854,31531901,+,3.189448735,HepG2
12898,chr18,31548645,31548704,+,4.661830076,K562
12895,chr18,31548585,31548620,+,4.070298109,HepG2
12896,chr18,31548635,31548690,+,5.32198595,HepG2
12897,chr18,31548642,31548715,+,5.591824335,HepG2
24860,chr6,31620743,31620792,+,11.19610608,K562
24861,chr6,31624460,31624510,+,10.09848719,K562
24862,chr6,31626981,31627012,+,5.611903774,HepG2
3589,chr3,31637432,31637474,+,3.957620614,K562
3588,chr3,31637389,31637474,+,6.466817015,K562
3590,chr3,31637437,31637475,+,3.504713402,HepG2
24899,chr6,31639583,31639633,-,6.125978175,K562
24900,chr6,31642909,31642950,-,4.227194163,K562
24902,chr6,31658929,31658970,-,3.178734411,K562
24903,chr6,31658972,31659014,-,3.693916752,HepG2
23381,chr20,31722173,31722214,-,8.917379406,HepG2
23380,chr20,31722170,31722204,-,6.193822605,HepG2
23379,chr20,31721662,31721705,-,7.18917782,HepG2
24941,chr6,31797511,31797542,-,7.703129555,K562
24943,chr6,31797568,31797631,-,7.235175302,K562
24940,chr6,31797487,31797509,-,3.991571025,K562
24942,chr6,31797563,31797628,-,14.01985568,K562
24944,chr6,31829893,31829999,+,8.836335421,HepG2
24945,chr6,31829902,31829963,+,5.779849793,HepG2
24946,chr6,31830020,31830083,+,4.739795003,HepG2
24969,chr6,31860054,31860130,-,4.613129145,HepG2
24970,chr6,31899771,31899865,-,8.356349468,K562
26664,chr6,31899606,31899857,-,8.248009359,K562
24971,chr6,31899827,31899868,-,4.512902227,HepG2
21964,chr16,31916234,31916281,+,3.693916752,HepG2
21965,chr16,31916240,31916290,+,3.504713402,HepG2
12902,chr18,31943936,31944047,+,3.915254684,K562
23391,chr20,31945366,31945408,-,3.36069115,K562
23392,chr20,31945600,31945648,-,3.545634347,K562
23390,chr20,31945346,31945399,-,3.178734411,K562
24978,chr6,31944979,31944985,+,3.917588427,HepG2
25018,chr6,32115862,32115906,-,6.677211532,K562
33961,chr5,32125255,32125275,-,4.070298109,HepG2
33960,chr5,32125248,32125277,-,4.512902227,HepG2
23394,chr20,32160072,32160103,+,3.536314955,HepG2
23393,chr20,32160063,32160072,+,3.189448735,HepG2
25033,chr6,32178524,32178571,+,10.02051992,K562
25034,chr6,32180423,32180480,+,17.06748565,K562
26665,chr6,32180323,32180364,+,3.511542639,HepG2
25039,chr6,32185062,32185163,-,14.54454603,K562
25036,chr6,32184785,32184842,-,13.5642034,K562
25038,chr6,32184970,32185039,-,8.894568506,K562
25035,chr6,32184770,32184838,-,12.12839204,K562
25040,chr6,32185080,32185163,-,11.6084298,K562
25037,chr6,32184946,32185017,-,17.34211461,K562
23395,chr20,32195217,32195259,-,4.512902227,HepG2
28812,chr21,32268467,32268575,-,9.345602034,K562
17951,chr1,32334115,32334176,-,8.329970791,HepG2
17952,chr1,32334176,32334259,-,11.50274862,HepG2
1689,chr19,32345698,32345782,+,12.9675138,HepG2
1690,chr19,32354226,32354279,+,3.189448735,HepG2
1691,chr19,32354270,32354335,+,3.504713402,HepG2
33964,chr5,32355325,32355368,-,3.189448735,HepG2
24405,chr20,32369013,32369046,+,13.05737093,HepG2
16621,chr22,32387676,32387718,-,3.199661376,HepG2
23402,chr20,32434715,32434756,+,7.014470242,HepG2
23403,chr20,32437099,32437141,+,3.917588427,HepG2
23427,chr20,32849802,32849848,+,5.419897543,K562
16622,chr22,32862539,32862592,+,3.536314955,HepG2
3599,chr3,32894529,32894559,+,6.082367162,HepG2
3613,chr3,32897508,32897539,+,5.967101334,HepG2
3612,chr3,32897432,32897455,+,7.947077623,HepG2
3595,chr3,32893510,32893551,+,7.543714759,HepG2
3594,chr3,32893377,32893403,+,3.882310524,HepG2
3600,chr3,32894725,32894761,+,7.543714759,HepG2
3601,chr3,32894797,32894835,+,7.127411047,HepG2
3602,chr3,32894801,32894828,+,4.269339392,HepG2
3603,chr3,32895011,32895024,+,3.016910938,HepG2
3591,chr3,32892404,32892457,+,9.121490785,HepG2
3592,chr3,32893088,32893115,+,4.594322111,HepG2
3604,chr3,32895893,32895931,+,7.878441141,HepG2
3614,chr3,32897649,32897688,+,8.917379406,HepG2
3610,chr3,32897293,32897361,+,13.80576325,HepG2
3615,chr3,32897651,32897689,+,7.313698338,HepG2
3606,chr3,32896740,32896746,+,3.504713402,HepG2
3598,chr3,32894511,32894568,+,9.904349529,HepG2
3607,chr3,32897090,32897142,+,15.91353339,HepG2
3608,chr3,32897091,32897144,+,45.09695887,HepG2
3609,chr3,32897208,32897241,+,10.12636963,HepG2
3611,chr3,32897319,32897339,+,5.611903774,HepG2
3596,chr3,32893846,32893870,+,4.739795003,HepG2
3597,chr3,32893930,32893951,+,3.536314955,HepG2
3605,chr3,32895911,32895928,+,3.96221267,HepG2
3593,chr3,32893142,32893170,+,3.917588427,HepG2
10450,chr11,32976390,32976432,+,5.018185287,HepG2
10451,chr11,32978854,32978976,+,4.545455288,HepG2
1692,chr19,32979540,32979585,-,4.070298109,HepG2
5719,chr9,33039344,33039395,+,4.628865613,K562
5720,chr9,33046848,33046899,-,4.227194163,K562
5727,chr9,33112449,33112523,-,10.65844678,HepG2
5729,chr9,33112496,33112573,-,11.31202574,K562
5725,chr9,33112171,33112188,-,3.693916752,HepG2
5726,chr9,33112425,33112536,-,11.65635315,HepG2
5724,chr9,33111214,33111242,-,4.007253545,HepG2
5721,chr9,33110709,33110761,-,4.937746775,HepG2
5732,chr9,33112847,33112886,-,3.957620614,K562
5733,chr9,33112857,33112886,-,3.424169967,K562
5730,chr9,33112653,33112691,-,5.059304654,HepG2
5728,chr9,33112487,33112587,-,10.91820854,K562
5723,chr9,33111150,33111197,-,7.878441141,HepG2
5722,chr9,33111033,33111071,-,4.512902227,HepG2
5731,chr9,33112827,33112876,-,7.947077623,HepG2
25357,chr6,33211223,33211296,+,5.582216856,K562
25358,chr6,33211894,33211945,+,7.553343713,K562
25399,chr6,33291954,33292048,-,7.876001769,K562
1701,chr19,33300938,33300971,-,5.639574165,HepG2
1702,chr19,33300953,33300974,-,5.340467232,HepG2
1703,chr19,33301016,33301026,-,3.016910938,HepG2
25451,chr6,33320010,33320098,-,4.28721069,K562
25452,chr6,33403505,33403526,+,4.396348092,K562
25454,chr6,33409742,33409853,+,70.40857919,K562
25453,chr6,33409741,33409779,+,10.43135036,K562
25456,chr6,33409779,33409786,+,8.307859361,K562
25459,chr6,33409873,33409908,+,8.087798569,K562
25457,chr6,33409786,33409794,+,36.44561516,K562
25458,chr6,33409794,33409848,+,50.78468239,K562
25455,chr6,33409773,33409836,+,8.12205604,HepG2
28813,chr21,33414943,33414984,+,3.199661376,HepG2
28816,chr21,33436833,33436862,+,3.504713402,HepG2
5742,chr9,33441637,33441749,-,9.192863258,K562
5741,chr9,33441247,33441301,-,3.266697184,K562
28825,chr21,33558841,33558875,+,3.957620614,K562
23440,chr20,33663453,33663520,-,4.619541281,K562
23445,chr20,33676030,33676084,-,3.199661376,HepG2
23444,chr20,33675918,33675964,-,3.55428109,HepG2
23443,chr20,33675915,33675993,-,3.957620614,K562
23442,chr20,33675901,33675945,-,4.017282261,K562
23441,chr20,33675808,33675854,-,3.36069115,K562
15923,chr13,33836499,33836571,+,3.805119784,K562
23448,chr20,33853760,33853795,+,3.476468913,HepG2
23447,chr20,33853748,33853796,+,3.199661376,HepG2
23446,chr20,33853591,33853679,+,21.03907756,K562
23449,chr20,33853764,33853797,+,5.845397111,K562
23450,chr20,33853767,33853808,+,5.018019887,K562
29393,chr12,34022543,34022597,+,3.36069115,K562
5743,chr9,34087844,34087894,-,7.134226259,HepG2
28842,chr21,34103892,34103935,+,3.96221267,HepG2
10508,chr11,34151358,34151404,-,3.96221267,HepG2
1716,chr19,34355291,34355456,+,3.266697184,K562
7337,chr15,34360121,34360184,-,4.017282261,K562
5747,chr9,34370707,34370735,-,4.512902227,HepG2
5748,chr9,34370716,34370744,-,3.504713402,HepG2
5746,chr9,34370528,34370579,-,7.575589322,HepG2
5745,chr9,34369990,34370041,-,5.779849793,HepG2
5744,chr9,34369975,34370021,-,5.089872757,HepG2
38416,chr14,34434779,34434840,-,4.070298109,HepG2
38415,chr14,34434640,34434722,-,5.414279899,K562
38414,chr14,34434360,34434438,-,4.594322111,HepG2
23473,chr20,34560802,34560859,-,3.536314955,HepG2
3076,chr19,34645362,34645394,-,3.693916752,HepG2
25557,chr6,34696718,34696787,-,36.94892469,K562
25556,chr6,34696707,34696788,-,56.01997844,K562
38417,chr14,34874607,34874661,-,3.178734411,K562
38471,chr14,35402425,35402460,-,5.32198595,HepG2
38473,chr14,35402612,35402660,-,8.256796074,HepG2
38472,chr14,35402576,35402608,-,5.268668342,HepG2
16623,chr22,35424156,35424211,+,4.619541281,K562
1788,chr19,35629190,35629257,+,3.266697184,K562
23512,chr20,35655245,35655275,-,6.958153911,HepG2
18043,chr1,35715196,35715268,-,9.018480385,K562
1800,chr19,35720199,35720242,+,3.96221267,HepG2
1799,chr19,35720089,35720141,+,3.266697184,K562
5802,chr9,35757575,35757621,+,3.199661376,HepG2
5803,chr9,35757694,35757777,+,4.661830076,K562
5801,chr9,35756972,35757033,+,4.227194163,K562
18044,chr1,35855015,35855071,+,3.36069115,K562
28848,chr21,36072541,36072581,+,3.693916752,HepG2
18056,chr1,36093761,36093800,+,3.693916752,HepG2
18065,chr1,36172465,36172512,+,3.424169967,K562
18082,chr1,36304156,36304188,+,5.018019887,K562
18093,chr1,36321917,36321983,+,7.658615338,HepG2
18092,chr1,36321893,36321991,+,12.67028552,K562
18096,chr1,36323193,36323244,+,4.619541281,K562
18094,chr1,36321920,36322011,+,13.21284073,K562
28849,chr21,36416719,36416810,+,3.178734411,K562
25589,chr6,36493901,36493933,-,3.36069115,K562
25590,chr6,36493957,36494092,-,4.619541281,K562
16658,chr22,36516709,36516753,-,4.512902227,HepG2
35603,chr2,36549014,36549080,+,23.61803702,HepG2
35606,chr2,36550914,36550994,+,17.16013195,HepG2
35604,chr2,36549016,36549068,+,11.02067393,HepG2
35605,chr2,36550910,36550990,+,22.97158533,HepG2
23542,chr20,36784688,36784741,-,6.17462069,HepG2
23543,chr20,36785233,36785282,-,4.739795003,HepG2
23539,chr20,36782288,36782332,-,4.512902227,HepG2
23541,chr20,36784420,36784482,-,4.01631793,HepG2
35607,chr2,36845860,36845921,-,4.661830076,K562
25603,chr6,36855078,36855133,-,3.199661376,HepG2
25608,chr6,36926769,36926810,+,3.693916752,HepG2
31642,chr17,37129405,37129444,-,3.693916752,HepG2
25671,chr6,37175308,37175352,+,79.02202046,K562
25659,chr6,37175086,37175111,+,43.21546829,K562
25658,chr6,37175074,37175107,+,44.65605994,K562
25657,chr6,37175056,37175115,+,26.06770892,HepG2
25663,chr6,37175184,37175242,+,83.07213197,K562
25662,chr6,37175115,37175211,+,41.9633711,HepG2
25661,chr6,37175113,37175200,+,400.0,K562
25644,chr6,37174378,37174410,+,400.0,K562
25643,chr6,37174361,37174435,+,400.0,K562
25665,chr6,37175242,37175287,+,400.0,K562
25664,chr6,37175200,37175247,+,68.97645948,K562
25652,chr6,37174549,37174568,+,56.59130223,K562
25651,chr6,37174524,37174549,+,400.0,K562
25660,chr6,37175107,37175184,+,400.0,K562
25648,chr6,37174483,37174540,+,30.89329927,HepG2
25649,chr6,37174489,37174555,+,400.0,K562
25655,chr6,37174794,37174821,+,46.06396908,K562
25670,chr6,37175307,37175372,+,400.0,K562
25646,chr6,37174435,37174489,+,74.15709135,K562
25645,chr6,37174410,37174441,+,400.0,K562
25653,chr6,37174630,37174681,+,27.48686234,HepG2
25666,chr6,37175247,37175293,+,400.0,K562
25650,chr6,37174494,37174524,+,400.0,K562
25656,chr6,37175011,37175054,+,19.51574288,HepG2
25654,chr6,37174782,37174794,+,45.56960241,K562
25669,chr6,37175293,37175307,+,83.25356821,K562
25667,chr6,37175267,37175325,+,24.21524011,HepG2
25668,chr6,37175287,37175308,+,88.25173443,K562
25647,chr6,37174441,37174494,+,400.0,K562
23545,chr20,37236579,37236591,+,3.882310524,HepG2
25673,chr6,37332905,37332949,+,3.545634347,K562
25672,chr6,37332603,37332653,+,3.540116796,K562
28850,chr21,37478213,37478255,+,4.269339392,HepG2
25674,chr6,37480969,37481007,+,3.016910938,HepG2
25677,chr6,37481315,37481356,+,3.266697184,K562
25675,chr6,37481213,37481297,+,7.148528716,K562
25676,chr6,37481229,37481295,+,7.553343713,K562
38475,chr14,37590923,37590966,-,7.099652811,HepG2
38474,chr14,37590528,37590608,-,6.752025261,HepG2
39004,chr14,37592496,37592578,-,7.575589322,HepG2
15011,chr8,37699909,37699954,+,4.739795003,HepG2
15010,chr8,37699664,37699716,+,4.640911235,HepG2
18132,chr1,37803475,37803516,-,3.536314955,HepG2
16679,chr22,37807155,37807175,+,30.95593085,HepG2
16680,chr22,37807159,37807216,+,80.11916926,HepG2
16681,chr22,37807197,37807272,+,57.84317836,HepG2
16678,chr22,37806735,37806781,+,29.13547705,HepG2
16682,chr22,37807220,37807270,+,30.42346286,HepG2
8694,chr7,37951529,37951563,+,5.340467232,HepG2
8695,chr7,37951717,37951769,+,4.070298109,HepG2
23624,chr20,38092254,38092309,+,4.619541281,K562
23625,chr20,38092264,38092310,+,3.610284393,K562
23623,chr20,38092123,38092187,+,8.284555836,K562
23622,chr20,38092123,38092177,+,11.16751306,K562
15018,chr8,38211379,38211423,+,5.577359118,HepG2
3655,chr3,38255128,38255234,+,5.046799405,K562
3652,chr3,38253412,38253446,+,3.991571025,K562
3653,chr3,38254747,38254796,+,4.594322111,HepG2
3654,chr3,38254940,38254977,+,3.957620614,K562
