chromosome,start_coord,end_coord,peak_id,strand,RBP_name,experiment_method,sample_or_tissue_used,accession_of_raw_data,confidence_score
chr14,75651052,75651172,human_RBP_eCLIP_ENCODE_616629,-,DDX6,eCLIP,HepG2,ENCODE,8.83633542140786
chr14,75651064,75651166,human_RBP_eCLIP_ENCODE_612620,-,DDX6,eCLIP,K562,ENCODE,7.56648633939094
chr14,75651066,75651115,human_RBP_eCLIP_ENCODE_607295,-,DDX6,eCLIP,K562,ENCODE,3.36069114959313
chr14,75651166,75651226,human_RBP_eCLIP_ENCODE_612621,-,DDX6,eCLIP,K562,ENCODE,5.41989754259813
chr14,76501647,76501784,human_RBP_eCLIP_ENCODE_607296,+,DDX6,eCLIP,K562,ENCODE,5.84539711128775
chr14,77024720,77024806,human_RBP_eCLIP_ENCODE_612622,-,DDX6,eCLIP,K562,ENCODE,8.47318274478686
chr14,77024738,77024821,human_RBP_eCLIP_ENCODE_620498,-,DDX6,eCLIP,HepG2,ENCODE,7.71033748224123
chr14,77025083,77025162,human_RBP_eCLIP_ENCODE_612623,-,DDX6,eCLIP,K562,ENCODE,4.99670580695349
chr14,77025103,77025168,human_RBP_eCLIP_ENCODE_616630,-,DDX6,eCLIP,HepG2,ENCODE,5.63957416480209
chr14,77025122,77025212,human_RBP_eCLIP_ENCODE_607297,-,DDX6,eCLIP,K562,ENCODE,5.34788154804877
chr14,77025429,77025469,human_RBP_eCLIP_ENCODE_620499,-,DDX6,eCLIP,HepG2,ENCODE,4.73979500349767
chr14,77027567,77027618,human_RBP_eCLIP_ENCODE_620500,-,DDX6,eCLIP,HepG2,ENCODE,5.77984979267016
chr14,77027651,77027699,human_RBP_eCLIP_ENCODE_620501,-,DDX6,eCLIP,HepG2,ENCODE,7.33328625666416
chr14,77028306,77028366,human_RBP_eCLIP_ENCODE_620502,-,DDX6,eCLIP,HepG2,ENCODE,6.36436055837628
chr14,77028571,77028628,human_RBP_eCLIP_ENCODE_616631,-,DDX6,eCLIP,HepG2,ENCODE,4.06415877830282
chr14,77277038,77277077,human_RBP_eCLIP_ENCODE_620503,-,DDX6,eCLIP,HepG2,ENCODE,5.34046723164773
chr14,77458054,77458104,human_RBP_eCLIP_ENCODE_612624,+,DDX6,eCLIP,K562,ENCODE,5.01801988705361
chr14,77469077,77469104,human_RBP_eCLIP_ENCODE_612625,+,DDX6,eCLIP,K562,ENCODE,3.61028439345029
chr14,77469122,77469156,human_RBP_eCLIP_ENCODE_612626,+,DDX6,eCLIP,K562,ENCODE,3.54563434727899
chr14,77469220,77469301,human_RBP_eCLIP_ENCODE_612627,+,DDX6,eCLIP,K562,ENCODE,8.59283012351629
chr14,77469330,77469440,human_RBP_eCLIP_ENCODE_607298,+,DDX6,eCLIP,K562,ENCODE,11.9606652112619
chr14,77469388,77469428,human_RBP_eCLIP_ENCODE_620504,+,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr14,77717621,77717669,human_RBP_eCLIP_ENCODE_607299,-,DDX6,eCLIP,K562,ENCODE,3.36069114959313
chr14,77731010,77731084,human_RBP_eCLIP_ENCODE_612628,-,DDX6,eCLIP,K562,ENCODE,5.37656420983196
chr14,77738805,77738867,human_RBP_eCLIP_ENCODE_612629,-,DDX6,eCLIP,K562,ENCODE,5.41989754259813
chr14,77738813,77738871,human_RBP_eCLIP_ENCODE_607300,-,DDX6,eCLIP,K562,ENCODE,3.68218541160968
chr14,81176355,81176407,human_RBP_eCLIP_ENCODE_620505,-,DDX6,eCLIP,HepG2,ENCODE,3.19966137630154
chr14,81204054,81204096,human_RBP_eCLIP_ENCODE_620506,-,DDX6,eCLIP,HepG2,ENCODE,5.34046723164773
chr14,81472952,81473016,human_RBP_eCLIP_ENCODE_620507,-,DDX6,eCLIP,HepG2,ENCODE,4.73979500349767
chr14,81472953,81473057,human_RBP_eCLIP_ENCODE_612630,-,DDX6,eCLIP,K562,ENCODE,7.70312955540332
chr14,81473805,81473867,human_RBP_eCLIP_ENCODE_616632,-,DDX6,eCLIP,HepG2,ENCODE,4.54545528783867
chr14,81473826,81473866,human_RBP_eCLIP_ENCODE_620508,-,DDX6,eCLIP,HepG2,ENCODE,3.96221266961338
chr14,81475467,81475532,human_RBP_eCLIP_ENCODE_620509,-,DDX6,eCLIP,HepG2,ENCODE,4.73979500349767
chr14,89181037,89181087,human_RBP_eCLIP_ENCODE_620510,-,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr14,89325173,89325238,human_RBP_eCLIP_ENCODE_616633,-,DDX6,eCLIP,HepG2,ENCODE,3.51154263864523
chr14,89360611,89360648,human_RBP_eCLIP_ENCODE_620511,-,DDX6,eCLIP,HepG2,ENCODE,4.51290222658887
chr14,89551729,89551738,human_RBP_eCLIP_ENCODE_620512,-,DDX6,eCLIP,HepG2,ENCODE,3.53631495502023
chr14,89551738,89551770,human_RBP_eCLIP_ENCODE_620513,-,DDX6,eCLIP,HepG2,ENCODE,3.18944873542402
chr14,90877433,90877464,human_RBP_eCLIP_ENCODE_620514,-,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr14,91221445,91221474,human_RBP_eCLIP_ENCODE_620515,+,DDX6,eCLIP,HepG2,ENCODE,5.34046723164773
chr14,91292987,91293030,human_RBP_eCLIP_ENCODE_620516,-,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr14,91313163,91313169,human_RBP_eCLIP_ENCODE_620517,-,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr14,91313169,91313189,human_RBP_eCLIP_ENCODE_620518,-,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr14,91395590,91395621,human_RBP_eCLIP_ENCODE_620519,-,DDX6,eCLIP,HepG2,ENCODE,5.34046723164773
chr14,91509870,91509924,human_RBP_eCLIP_ENCODE_620520,-,DDX6,eCLIP,HepG2,ENCODE,5.77984979267016
chr14,91836416,91836494,human_RBP_eCLIP_ENCODE_612632,-,DDX6,eCLIP,K562,ENCODE,4.30825951733495
chr14,91969044,91969087,human_RBP_eCLIP_ENCODE_620521,-,DDX6,eCLIP,HepG2,ENCODE,4.51290222658887
chr14,92703992,92704068,human_RBP_eCLIP_ENCODE_620522,-,DDX6,eCLIP,HepG2,ENCODE,8.1220560395484
chr14,92704005,92704063,human_RBP_eCLIP_ENCODE_616634,-,DDX6,eCLIP,HepG2,ENCODE,3.51154263864523
chr14,93183833,93183922,human_RBP_eCLIP_ENCODE_607301,-,DDX6,eCLIP,K562,ENCODE,4.10589548581183
chr14,93186926,93186964,human_RBP_eCLIP_ENCODE_620523,+,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr14,94380438,94380481,human_RBP_eCLIP_ENCODE_620524,-,DDX6,eCLIP,HepG2,ENCODE,7.3998504314622
chr14,94442524,94442582,human_RBP_eCLIP_ENCODE_616635,-,DDX6,eCLIP,HepG2,ENCODE,11.4575481771708
chr14,94584949,94584983,human_RBP_eCLIP_ENCODE_620525,+,DDX6,eCLIP,HepG2,ENCODE,5.34046723164773
chr14,94592320,94592348,human_RBP_eCLIP_ENCODE_620526,+,DDX6,eCLIP,HepG2,ENCODE,6.06268566226111
chr14,94592354,94592431,human_RBP_eCLIP_ENCODE_616636,+,DDX6,eCLIP,HepG2,ENCODE,11.2983456826743
chr14,94592378,94592417,human_RBP_eCLIP_ENCODE_620527,+,DDX6,eCLIP,HepG2,ENCODE,5.64013607135494
chr14,94592606,94592633,human_RBP_eCLIP_ENCODE_616637,+,DDX6,eCLIP,HepG2,ENCODE,4.06415877830282
chr14,94615049,94615076,human_RBP_eCLIP_ENCODE_616638,+,DDX6,eCLIP,HepG2,ENCODE,4.07029810867393
chr14,94623934,94624009,human_RBP_eCLIP_ENCODE_616639,+,DDX6,eCLIP,HepG2,ENCODE,10.6932105325043
chr14,94623974,94624020,human_RBP_eCLIP_ENCODE_620528,+,DDX6,eCLIP,HepG2,ENCODE,4.93774677513387
chr14,95087110,95087137,human_RBP_eCLIP_ENCODE_620529,-,DDX6,eCLIP,HepG2,ENCODE,3.18944873542402
chr14,95190865,95190870,human_RBP_eCLIP_ENCODE_620530,-,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr14,95190870,95190891,human_RBP_eCLIP_ENCODE_620531,-,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr14,95259992,95260001,human_RBP_eCLIP_ENCODE_620532,-,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr14,95260001,95260031,human_RBP_eCLIP_ENCODE_620533,-,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr14,95535243,95535313,human_RBP_eCLIP_ENCODE_607302,+,DDX6,eCLIP,K562,ENCODE,4.10589548581183
chr14,96852833,96852892,human_RBP_eCLIP_ENCODE_612633,+,DDX6,eCLIP,K562,ENCODE,4.39634809193329
chr14,99514002,99514054,human_RBP_eCLIP_ENCODE_616640,-,DDX6,eCLIP,HepG2,ENCODE,4.07029810867393
chr14,99515044,99515097,human_RBP_eCLIP_ENCODE_620534,-,DDX6,eCLIP,HepG2,ENCODE,3.18944873542402
chr14,99520361,99520418,human_RBP_eCLIP_ENCODE_620535,-,DDX6,eCLIP,HepG2,ENCODE,3.19966137630154
chr14,99551855,99551922,human_RBP_eCLIP_ENCODE_616641,-,DDX6,eCLIP,HepG2,ENCODE,3.47646891343143
chr14,99572504,99572555,human_RBP_eCLIP_ENCODE_620536,-,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr14,100139589,100139631,human_RBP_eCLIP_ENCODE_620537,+,DDX6,eCLIP,HepG2,ENCODE,4.51290222658887
chr14,100238311,100238402,human_RBP_eCLIP_ENCODE_612634,-,DDX6,eCLIP,K562,ENCODE,10.4313503620381
chr14,100238328,100238396,human_RBP_eCLIP_ENCODE_607303,-,DDX6,eCLIP,K562,ENCODE,12.6702855163945
chr14,100278038,100278123,human_RBP_eCLIP_ENCODE_612635,+,DDX6,eCLIP,K562,ENCODE,10.0204710187529
chr14,100278163,100278255,human_RBP_eCLIP_ENCODE_607304,+,DDX6,eCLIP,K562,ENCODE,14.3401313183373
chr14,100278164,100278255,human_RBP_eCLIP_ENCODE_612636,+,DDX6,eCLIP,K562,ENCODE,10.6154315531059
chr14,100334540,100334592,human_RBP_eCLIP_ENCODE_607305,-,DDX6,eCLIP,K562,ENCODE,3.68218541160968
chr14,100346199,100346312,human_RBP_eCLIP_ENCODE_607306,-,DDX6,eCLIP,K562,ENCODE,3.4241699666762
chr14,100353737,100353784,human_RBP_eCLIP_ENCODE_612637,-,DDX6,eCLIP,K562,ENCODE,3.54563434727899
chr14,100375294,100375376,human_RBP_eCLIP_ENCODE_607307,-,DDX6,eCLIP,K562,ENCODE,3.68218541160968
chr14,100734905,100735068,human_RBP_eCLIP_ENCODE_620538,+,DDX6,eCLIP,HepG2,ENCODE,70.5017032335557
chr14,100734958,100735108,human_RBP_eCLIP_ENCODE_612638,+,DDX6,eCLIP,K562,ENCODE,14.9673812391493
chr14,100734988,100735046,human_RBP_eCLIP_ENCODE_616642,+,DDX6,eCLIP,HepG2,ENCODE,51.095333133045
chr14,101761987,101762061,human_RBP_eCLIP_ENCODE_612639,+,DDX6,eCLIP,K562,ENCODE,7.64189375479358
chr14,101762254,101762298,human_RBP_eCLIP_ENCODE_607308,+,DDX6,eCLIP,K562,ENCODE,6.50082516459459
chr14,101762344,101762402,human_RBP_eCLIP_ENCODE_612640,+,DDX6,eCLIP,K562,ENCODE,11.1675130580409
chr14,101835865,101835899,human_RBP_eCLIP_ENCODE_620539,+,DDX6,eCLIP,HepG2,ENCODE,3.53631495502023
chr14,101965452,101965515,human_RBP_eCLIP_ENCODE_607309,+,DDX6,eCLIP,K562,ENCODE,4.61954128095805
chr14,101965489,101965514,human_RBP_eCLIP_ENCODE_612641,+,DDX6,eCLIP,K562,ENCODE,3.54563434727899
chr14,102081200,102081235,human_RBP_eCLIP_ENCODE_607310,-,DDX6,eCLIP,K562,ENCODE,5.72103661691447
chr14,102081273,102081314,human_RBP_eCLIP_ENCODE_620540,-,DDX6,eCLIP,HepG2,ENCODE,4.92876513172568
chr14,102086880,102086905,human_RBP_eCLIP_ENCODE_607311,-,DDX6,eCLIP,K562,ENCODE,5.26676179593844
chr14,102506954,102506999,human_RBP_eCLIP_ENCODE_620541,-,DDX6,eCLIP,HepG2,ENCODE,3.53631495502023
chr14,102507579,102507605,human_RBP_eCLIP_ENCODE_607312,-,DDX6,eCLIP,K562,ENCODE,3.36069114959313
chr14,102508474,102508514,human_RBP_eCLIP_ENCODE_612643,-,DDX6,eCLIP,K562,ENCODE,5.03695252013292
chr14,102508701,102508737,human_RBP_eCLIP_ENCODE_612644,-,DDX6,eCLIP,K562,ENCODE,3.61028439345029
chr14,102508737,102508843,human_RBP_eCLIP_ENCODE_612645,-,DDX6,eCLIP,K562,ENCODE,8.27503635949871
chr14,102509131,102509173,human_RBP_eCLIP_ENCODE_607313,-,DDX6,eCLIP,K562,ENCODE,4.01728226135989
chr14,102509572,102509625,human_RBP_eCLIP_ENCODE_607314,-,DDX6,eCLIP,K562,ENCODE,4.78292843645508
chr14,102730355,102730472,human_RBP_eCLIP_ENCODE_607315,+,DDX6,eCLIP,K562,ENCODE,18.3099546197106
chr14,102730419,102730480,human_RBP_eCLIP_ENCODE_612646,+,DDX6,eCLIP,K562,ENCODE,7.53045145480054
chr14,102777586,102777672,human_RBP_eCLIP_ENCODE_607316,+,DDX6,eCLIP,K562,ENCODE,4.01728226135989
chr14,103107931,103107971,human_RBP_eCLIP_ENCODE_616644,+,DDX6,eCLIP,HepG2,ENCODE,3.0169109376207
chr14,103136535,103136645,human_RBP_eCLIP_ENCODE_607317,+,DDX6,eCLIP,K562,ENCODE,10.1471644818219
chr14,103137360,103137416,human_RBP_eCLIP_ENCODE_612647,+,DDX6,eCLIP,K562,ENCODE,3.26669718445958
chr14,103334515,103334559,human_RBP_eCLIP_ENCODE_620542,+,DDX6,eCLIP,HepG2,ENCODE,5.34046723164773
chr14,103535174,103535231,human_RBP_eCLIP_ENCODE_616645,+,DDX6,eCLIP,HepG2,ENCODE,4.64091123543591
chr14,103590406,103590478,human_RBP_eCLIP_ENCODE_607318,+,DDX6,eCLIP,K562,ENCODE,3.36069114959313
chr14,103713951,103714042,human_RBP_eCLIP_ENCODE_607320,-,DDX6,eCLIP,K562,ENCODE,4.68198260245994
chr14,103724087,103724155,human_RBP_eCLIP_ENCODE_612648,+,DDX6,eCLIP,K562,ENCODE,4.28721069008856
chr14,103733364,103733418,human_RBP_eCLIP_ENCODE_612649,+,DDX6,eCLIP,K562,ENCODE,3.26669718445958
chr14,103868836,103868878,human_RBP_eCLIP_ENCODE_620544,-,DDX6,eCLIP,HepG2,ENCODE,3.53631495502023
chr14,103912537,103912657,human_RBP_eCLIP_ENCODE_612650,-,DDX6,eCLIP,K562,ENCODE,13.0364718828637
chr14,103912548,103912647,human_RBP_eCLIP_ENCODE_607321,-,DDX6,eCLIP,K562,ENCODE,5.4560397981538
chr14,103913958,103913983,human_RBP_eCLIP_ENCODE_612651,-,DDX6,eCLIP,K562,ENCODE,3.61028439345029
chr14,104699989,104700021,human_RBP_eCLIP_ENCODE_620545,+,DDX6,eCLIP,HepG2,ENCODE,3.19966137630154
chr14,104707356,104707375,human_RBP_eCLIP_ENCODE_620546,+,DDX6,eCLIP,HepG2,ENCODE,3.96221266961338
chr14,104714869,104714934,human_RBP_eCLIP_ENCODE_616646,+,DDX6,eCLIP,HepG2,ENCODE,3.47646891343143
chr14,104718836,104718890,human_RBP_eCLIP_ENCODE_616647,+,DDX6,eCLIP,HepG2,ENCODE,3.0169109376207
chr14,104782314,104782403,human_RBP_eCLIP_ENCODE_607322,-,DDX6,eCLIP,K562,ENCODE,4.01728226135989
chr14,104783449,104783492,human_RBP_eCLIP_ENCODE_612652,-,DDX6,eCLIP,K562,ENCODE,3.17873441118284
chr14,104785984,104786032,human_RBP_eCLIP_ENCODE_607323,-,DDX6,eCLIP,K562,ENCODE,3.99157102509549
chr14,104786774,104786830,human_RBP_eCLIP_ENCODE_616648,-,DDX6,eCLIP,HepG2,ENCODE,4.01631793013681
chr14,104791496,104791505,human_RBP_eCLIP_ENCODE_620547,-,DDX6,eCLIP,HepG2,ENCODE,3.19966137630154
chr14,104791505,104791536,human_RBP_eCLIP_ENCODE_620548,-,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr14,105010329,105010390,human_RBP_eCLIP_ENCODE_616649,-,DDX6,eCLIP,HepG2,ENCODE,4.07029810867393
chr14,105011575,105011606,human_RBP_eCLIP_ENCODE_620550,-,DDX6,eCLIP,HepG2,ENCODE,3.96221266961338
chr14,105015985,105016032,human_RBP_eCLIP_ENCODE_620551,-,DDX6,eCLIP,HepG2,ENCODE,3.53631495502023
chr14,105142185,105142288,human_RBP_eCLIP_ENCODE_607324,-,DDX6,eCLIP,K562,ENCODE,5.26676179593844
chr14,105144434,105144492,human_RBP_eCLIP_ENCODE_607325,-,DDX6,eCLIP,K562,ENCODE,3.36069114959313
chr14,105158613,105158658,human_RBP_eCLIP_ENCODE_612653,-,DDX6,eCLIP,K562,ENCODE,3.91525468394631
chr14,105159094,105159117,human_RBP_eCLIP_ENCODE_607326,-,DDX6,eCLIP,K562,ENCODE,4.62886561260517
chr14,105159098,105159126,human_RBP_eCLIP_ENCODE_612654,-,DDX6,eCLIP,K562,ENCODE,3.17873441118284
chr14,105159282,105159339,human_RBP_eCLIP_ENCODE_607327,-,DDX6,eCLIP,K562,ENCODE,8.99295457196123
chr14,105159491,105159583,human_RBP_eCLIP_ENCODE_612655,-,DDX6,eCLIP,K562,ENCODE,11.1675130580409
chr14,105159518,105159612,human_RBP_eCLIP_ENCODE_607328,-,DDX6,eCLIP,K562,ENCODE,17.1601339007163
chr14,105159650,105159740,human_RBP_eCLIP_ENCODE_607329,-,DDX6,eCLIP,K562,ENCODE,17.8678530623147
chr14,105159722,105159780,human_RBP_eCLIP_ENCODE_612656,-,DDX6,eCLIP,K562,ENCODE,8.08779856895845
chr14,105159968,105160009,human_RBP_eCLIP_ENCODE_612657,-,DDX6,eCLIP,K562,ENCODE,6.93619244175204
chr14,105160261,105160299,human_RBP_eCLIP_ENCODE_612658,-,DDX6,eCLIP,K562,ENCODE,5.03695252013292
chr14,105160268,105160301,human_RBP_eCLIP_ENCODE_607330,-,DDX6,eCLIP,K562,ENCODE,5.91779323677599
chr14,105161647,105161707,human_RBP_eCLIP_ENCODE_612659,-,DDX6,eCLIP,K562,ENCODE,3.17873441118284
chr14,105161850,105161884,human_RBP_eCLIP_ENCODE_612660,-,DDX6,eCLIP,K562,ENCODE,3.17873441118284
chr14,105162242,105162293,human_RBP_eCLIP_ENCODE_607331,-,DDX6,eCLIP,K562,ENCODE,3.4241699666762
chr14,105166902,105166968,human_RBP_eCLIP_ENCODE_607332,-,DDX6,eCLIP,K562,ENCODE,4.10589548581183
chr14,105166930,105166977,human_RBP_eCLIP_ENCODE_612661,-,DDX6,eCLIP,K562,ENCODE,3.61028439345029
chr14,105167004,105167069,human_RBP_eCLIP_ENCODE_607333,-,DDX6,eCLIP,K562,ENCODE,4.61954128095805
chr14,105167012,105167060,human_RBP_eCLIP_ENCODE_612662,-,DDX6,eCLIP,K562,ENCODE,4.66119362195847
chr14,105167093,105167140,human_RBP_eCLIP_ENCODE_607334,-,DDX6,eCLIP,K562,ENCODE,3.4241699666762
chr14,105173281,105173335,human_RBP_eCLIP_ENCODE_612663,-,DDX6,eCLIP,K562,ENCODE,3.26669718445958
chr14,105253390,105253431,human_RBP_eCLIP_ENCODE_620552,-,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr14,105345842,105345870,human_RBP_eCLIP_ENCODE_616650,+,DDX6,eCLIP,HepG2,ENCODE,4.64091123543591
chr14,105345851,105345907,human_RBP_eCLIP_ENCODE_612664,+,DDX6,eCLIP,K562,ENCODE,3.17873441118284
chr14,105345878,105345942,human_RBP_eCLIP_ENCODE_607335,+,DDX6,eCLIP,K562,ENCODE,3.36069114959313
chr14,105345903,105345940,human_RBP_eCLIP_ENCODE_616651,+,DDX6,eCLIP,HepG2,ENCODE,4.07029810867393
chr14,105345907,105345950,human_RBP_eCLIP_ENCODE_620553,+,DDX6,eCLIP,HepG2,ENCODE,4.51290222658887
chr14,105346092,105346156,human_RBP_eCLIP_ENCODE_612665,+,DDX6,eCLIP,K562,ENCODE,4.28721069008856
chr14,105346309,105346399,human_RBP_eCLIP_ENCODE_607336,+,DDX6,eCLIP,K562,ENCODE,4.62886561260517
chr14,105346436,105346488,human_RBP_eCLIP_ENCODE_620554,+,DDX6,eCLIP,HepG2,ENCODE,7.01399311804124
chr14,105346976,105347088,human_RBP_eCLIP_ENCODE_620555,+,DDX6,eCLIP,HepG2,ENCODE,29.1101500317154
chr14,105347007,105347111,human_RBP_eCLIP_ENCODE_616652,+,DDX6,eCLIP,HepG2,ENCODE,21.3009141413505
chr14,105347020,105347106,human_RBP_eCLIP_ENCODE_612666,+,DDX6,eCLIP,K562,ENCODE,16.2759060805367
chr14,105347026,105347080,human_RBP_eCLIP_ENCODE_607337,+,DDX6,eCLIP,K562,ENCODE,8.53349760734209
chr14,105347111,105347160,human_RBP_eCLIP_ENCODE_607338,+,DDX6,eCLIP,K562,ENCODE,7.22064712825033
chr14,105347133,105347197,human_RBP_eCLIP_ENCODE_620556,+,DDX6,eCLIP,HepG2,ENCODE,16.4237692534533
chr14,105347144,105347230,human_RBP_eCLIP_ENCODE_612667,+,DDX6,eCLIP,K562,ENCODE,13.9211815413296
chr14,105347157,105347198,human_RBP_eCLIP_ENCODE_616653,+,DDX6,eCLIP,HepG2,ENCODE,5.79373340204452
chr14,105347176,105347258,human_RBP_eCLIP_ENCODE_607339,+,DDX6,eCLIP,K562,ENCODE,12.5110846574454
chr14,105347228,105347273,human_RBP_eCLIP_ENCODE_616654,+,DDX6,eCLIP,HepG2,ENCODE,11.6844177556783
chr14,105347230,105347288,human_RBP_eCLIP_ENCODE_612668,+,DDX6,eCLIP,K562,ENCODE,7.31923738353954
chr14,105347421,105347448,human_RBP_eCLIP_ENCODE_620557,+,DDX6,eCLIP,HepG2,ENCODE,7.85760208587182
chr14,105347500,105347535,human_RBP_eCLIP_ENCODE_620558,+,DDX6,eCLIP,HepG2,ENCODE,10.4073764047058
chr14,105347511,105347561,human_RBP_eCLIP_ENCODE_612669,+,DDX6,eCLIP,K562,ENCODE,6.17297584378892
chr14,105347581,105347643,human_RBP_eCLIP_ENCODE_612670,+,DDX6,eCLIP,K562,ENCODE,7.31923738353954
chr14,105347605,105347632,human_RBP_eCLIP_ENCODE_607340,+,DDX6,eCLIP,K562,ENCODE,4.62886561260517
chr14,105347620,105347635,human_RBP_eCLIP_ENCODE_620559,+,DDX6,eCLIP,HepG2,ENCODE,5.34046723164773
chr14,105348062,105348095,human_RBP_eCLIP_ENCODE_620560,+,DDX6,eCLIP,HepG2,ENCODE,5.34046723164773
chr14,105348073,105348134,human_RBP_eCLIP_ENCODE_607341,+,DDX6,eCLIP,K562,ENCODE,5.91779323677599
chr14,105348077,105348131,human_RBP_eCLIP_ENCODE_612671,+,DDX6,eCLIP,K562,ENCODE,7.31923738353954
chr14,105348104,105348124,human_RBP_eCLIP_ENCODE_616655,+,DDX6,eCLIP,HepG2,ENCODE,4.07029810867393
chr14,105348110,105348150,human_RBP_eCLIP_ENCODE_620561,+,DDX6,eCLIP,HepG2,ENCODE,5.52910138592038
chr14,105348298,105348343,human_RBP_eCLIP_ENCODE_616656,+,DDX6,eCLIP,HepG2,ENCODE,5.21562109990389
chr14,105387364,105387372,human_RBP_eCLIP_ENCODE_620562,+,DDX6,eCLIP,HepG2,ENCODE,3.19966137630154
chr14,105387372,105387399,human_RBP_eCLIP_ENCODE_620563,+,DDX6,eCLIP,HepG2,ENCODE,3.19966137630154
chr14,105422004,105422046,human_RBP_eCLIP_ENCODE_620564,+,DDX6,eCLIP,HepG2,ENCODE,3.19966137630154
chr14,105433157,105433188,human_RBP_eCLIP_ENCODE_620565,+,DDX6,eCLIP,HepG2,ENCODE,3.18944873542402
chr14,105470420,105470480,human_RBP_eCLIP_ENCODE_607342,+,DDX6,eCLIP,K562,ENCODE,9.15374950794295
chr15,22810760,22810791,human_RBP_eCLIP_ENCODE_620566,+,DDX6,eCLIP,HepG2,ENCODE,3.19966137630154
chr15,22821344,22821364,human_RBP_eCLIP_ENCODE_616657,+,DDX6,eCLIP,HepG2,ENCODE,4.54545528783867
chr15,22821441,22821505,human_RBP_eCLIP_ENCODE_620567,+,DDX6,eCLIP,HepG2,ENCODE,17.2881287699444
chr15,22821452,22821536,human_RBP_eCLIP_ENCODE_616658,+,DDX6,eCLIP,HepG2,ENCODE,15.8700936588608
chr15,22821555,22821584,human_RBP_eCLIP_ENCODE_620568,+,DDX6,eCLIP,HepG2,ENCODE,7.01399311804124
chr15,22821570,22821786,human_RBP_eCLIP_ENCODE_607343,+,DDX6,eCLIP,K562,ENCODE,21.5181848693626
chr15,22821584,22821649,human_RBP_eCLIP_ENCODE_616659,+,DDX6,eCLIP,HepG2,ENCODE,20.7075746754121
chr15,22821604,22821785,human_RBP_eCLIP_ENCODE_620569,+,DDX6,eCLIP,HepG2,ENCODE,50.0732807451604
chr15,22821609,22821669,human_RBP_eCLIP_ENCODE_612672,+,DDX6,eCLIP,K562,ENCODE,3.61028439345029
chr15,22821649,22821736,human_RBP_eCLIP_ENCODE_616660,+,DDX6,eCLIP,HepG2,ENCODE,32.1883844484663
chr15,22821736,22821790,human_RBP_eCLIP_ENCODE_616661,+,DDX6,eCLIP,HepG2,ENCODE,18.5255660602976
chr15,22824283,22824424,human_RBP_eCLIP_ENCODE_612673,+,DDX6,eCLIP,K562,ENCODE,7.56648633939094
chr15,22824356,22824404,human_RBP_eCLIP_ENCODE_607344,+,DDX6,eCLIP,K562,ENCODE,4.62886561260517
chr15,22868040,22868072,human_RBP_eCLIP_ENCODE_620570,+,DDX6,eCLIP,HepG2,ENCODE,4.51290222658887
chr15,22917156,22917206,human_RBP_eCLIP_ENCODE_616662,-,DDX6,eCLIP,HepG2,ENCODE,3.51154263864523
chr15,22917246,22917303,human_RBP_eCLIP_ENCODE_616663,-,DDX6,eCLIP,HepG2,ENCODE,4.00725354453283
chr15,24986878,24986941,human_RBP_eCLIP_ENCODE_616664,+,DDX6,eCLIP,HepG2,ENCODE,8.72726401811006
chr15,25050194,25050238,human_RBP_eCLIP_ENCODE_620571,+,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr15,25052751,25052838,human_RBP_eCLIP_ENCODE_620572,+,DDX6,eCLIP,HepG2,ENCODE,3.18944873542402
chr15,25066458,25066519,human_RBP_eCLIP_ENCODE_620573,+,DDX6,eCLIP,HepG2,ENCODE,6.67802211599779
chr15,25091602,25091662,human_RBP_eCLIP_ENCODE_616665,+,DDX6,eCLIP,HepG2,ENCODE,3.0169109376207
chr15,25338777,25338821,human_RBP_eCLIP_ENCODE_607345,-,DDX6,eCLIP,K562,ENCODE,4.61954128095805
chr15,25404913,25404944,human_RBP_eCLIP_ENCODE_620574,-,DDX6,eCLIP,HepG2,ENCODE,3.19966137630154
chr15,25438501,25438551,human_RBP_eCLIP_ENCODE_620575,-,DDX6,eCLIP,HepG2,ENCODE,3.55428108964201
chr15,27088902,27088969,human_RBP_eCLIP_ENCODE_607346,+,DDX6,eCLIP,K562,ENCODE,7.67872850070943
chr15,28111630,28111756,human_RBP_eCLIP_ENCODE_607347,-,DDX6,eCLIP,K562,ENCODE,5.92084264080577
chr15,28113579,28113636,human_RBP_eCLIP_ENCODE_607348,-,DDX6,eCLIP,K562,ENCODE,3.36069114959313
